GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - 12:00 a.m. to 4:59 a.m.,Estimate; Total: - 5:00 a.m. to 5:29 a.m.,Estimate; Total: - 5:30 a.m. to 5:59 a.m.,Estimate; Total: - 6:00 a.m. to 6:29 a.m.,Estimate; Total: - 6:30 a.m. to 6:59 a.m.,Estimate; Total: - 7:00 a.m. to 7:29 a.m.,Estimate; Total: - 7:30 a.m. to 7:59 a.m.,Estimate; Total: - 8:00 a.m. to 8:29 a.m.,Estimate; Total: - 8:30 a.m. to 8:59 a.m.,Estimate; Total: - 9:00 a.m. to 9:59 a.m.,Estimate; Total: - 10:00 a.m. to 10:59 a.m.,Estimate; Total: - 11:00 a.m. to 11:59 a.m.,Estimate; Total: - 12:00 p.m. to 3:59 p.m.,Estimate; Total: - 4:00 p.m. to 11:59 p.m.
8600000US00601,00601,ZCTA5 00601,3423,320,192,86,652,434,705,365,182,65,151,11,0,157,103
8600000US00602,00602,ZCTA5 00602,11141,341,314,449,1628,1587,2801,1208,798,212,148,102,72,1005,476
8600000US00603,00603,ZCTA5 00603,11896,580,308,373,768,1234,2359,1805,1011,372,754,437,186,1002,707
8600000US00606,00606,ZCTA5 00606,1469,56,37,110,371,303,148,214,0,15,11,23,33,108,40
8600000US00610,00610,ZCTA5 00610,8144,502,485,575,783,1440,1158,891,470,154,304,84,33,855,410
8600000US00612,00612,ZCTA5 00612,14930,831,683,437,1562,1718,2322,1821,1867,683,643,331,237,1147,648
8600000US00616,00616,ZCTA5 00616,2730,146,224,103,312,348,495,341,99,99,110,18,21,267,147
8600000US00617,00617,ZCTA5 00617,5408,475,443,171,456,658,1085,447,413,21,257,85,109,358,430
8600000US00622,00622,ZCTA5 00622,1418,12,64,18,253,108,317,139,82,164,12,85,0,98,66
8600000US00623,00623,ZCTA5 00623,10330,668,486,306,985,1848,2310,1178,626,373,408,310,114,471,247
8600000US00624,00624,ZCTA5 00624,5659,665,132,288,518,688,1110,1218,106,53,104,57,31,465,224
8600000US00627,00627,ZCTA5 00627,8763,851,307,364,614,748,2172,727,1047,159,905,123,142,314,290
8600000US00631,00631,ZCTA5 00631,357,33,0,62,20,44,78,73,0,0,17,0,0,14,16
8600000US00637,00637,ZCTA5 00637,5240,187,389,395,622,348,1144,749,179,160,206,117,134,470,140
8600000US00638,00638,ZCTA5 00638,3257,478,293,226,304,285,678,208,86,42,132,54,78,193,200
8600000US00641,00641,ZCTA5 00641,5753,420,373,287,495,888,780,858,487,111,192,39,22,363,438
8600000US00646,00646,ZCTA5 00646,11423,736,501,611,1631,1480,1752,1056,1026,377,910,219,183,431,510
8600000US00647,00647,ZCTA5 00647,1117,46,0,80,32,57,465,111,131,77,32,0,24,33,29
8600000US00650,00650,ZCTA5 00650,3575,362,304,97,463,397,519,503,127,107,159,0,0,263,274
8600000US00652,00652,ZCTA5 00652,957,54,82,49,100,45,164,56,91,33,32,69,0,95,87
8600000US00653,00653,ZCTA5 00653,2041,12,40,45,187,242,725,256,214,98,35,23,9,81,74
8600000US00656,00656,ZCTA5 00656,4365,249,105,190,431,621,1024,838,210,31,141,37,83,288,117
8600000US00659,00659,ZCTA5 00659,11665,456,313,137,531,225,3787,647,2375,114,2299,250,27,357,147
8600000US00660,00660,ZCTA5 00660,4653,104,178,254,462,502,958,700,246,110,216,84,126,386,327
8600000US00662,00662,ZCTA5 00662,9986,554,311,403,1047,955,1615,1486,1100,552,340,176,189,824,434
8600000US00664,00664,ZCTA5 00664,3014,137,62,277,250,525,403,367,40,152,125,48,34,394,200
8600000US00667,00667,ZCTA5 00667,4775,233,144,459,341,549,1059,624,297,48,144,95,17,329,436
8600000US00669,00669,ZCTA5 00669,5866,374,200,297,714,881,1314,473,353,44,308,74,83,413,338
8600000US00670,00670,ZCTA5 00670,2260,69,113,154,319,249,448,430,23,30,104,43,45,101,132
8600000US00674,00674,ZCTA5 00674,10754,909,846,435,1042,818,2155,1216,1074,122,538,146,164,822,467
8600000US00676,00676,ZCTA5 00676,8226,465,359,228,1004,1024,1489,1048,663,253,419,72,112,800,290
8600000US00677,00677,ZCTA5 00677,4022,44,218,154,416,682,676,405,221,35,282,60,26,428,375
8600000US00678,00678,ZCTA5 00678,6943,600,285,413,647,684,1448,895,690,71,223,206,105,411,265
8600000US00680,00680,ZCTA5 00680,12179,497,382,667,1052,1142,2561,1422,796,274,663,512,312,1010,889
8600000US00682,00682,ZCTA5 00682,7584,250,225,232,457,767,1247,1143,823,336,391,200,256,588,669
8600000US00683,00683,ZCTA5 00683,7931,413,196,306,453,796,1900,1225,469,283,212,110,118,747,703
8600000US00685,00685,ZCTA5 00685,8140,357,433,286,1309,658,1552,1082,645,189,247,194,92,795,301
8600000US00687,00687,ZCTA5 00687,8391,452,641,466,838,640,2213,608,1084,29,564,182,38,368,268
